siparis_no,tarih,musteri_id,sehir,kategori,urun_adi,adet,birim_fiyat,tutar,odeme_yontemi,durum
S10422,2026-03-21,M0357,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,0,Havale/EFT,İade
S10423,2026-03-21,M0180,Ankara,Giyim,Kazak,2,749,1498,Kredi Kartı,Tamamlandı
S10424,2026-03-22,M0589,İstanbul,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10425,2026-03-22,M0698,Ankara,Elektronik,Kablosuz Kulaklık,2,1299,2598,Banka Kartı,Tamamlandı
S10426,2026-03-22,M0694,Bursa,Giyim,Tişört,2,349,698,Havale/EFT,Tamamlandı
S10427,2026-03-22,M0295,İstanbul,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Banka Kartı,Tamamlandı
S10427,2026-03-22,M0295,İstanbul,Kitap,Roman,3,189,567,Banka Kartı,Tamamlandı
S10428,2026-03-22,M0195,Ankara,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10428,2026-03-22,M0195,Ankara,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10429,2026-03-22,M0693,Konya,Spor,Koşu Bandı,2,18999,37998,Kredi Kartı,Tamamlandı
S10430,2026-03-22,M0323,Ankara,Spor,Dambıl Seti,4,1249,4996,Kapıda Ödeme,Tamamlandı
S10430,2026-03-22,M0323,Ankara,Giyim,Mont,1,2299,2299,Kapıda Ödeme,Tamamlandı
S10431,2026-03-22,M0819,Ankara,Giyim,Kazak,2,749,1498,Kapıda Ödeme,Tamamlandı
S10432,2026-03-22,M0124,Bursa,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S10432,2026-03-22,M0124,Bursa,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10433,2026-03-23,M0483,Konya,Giyim,Tişört,2,349,698,Kredi Kartı,Tamamlandı
S10434,2026-03-23,M0411,İstanbul,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10435,2026-03-23,M0242,İzmir,Spor,Dambıl Seti,1,1249,0,Havale/EFT,İade
S10436,2026-03-24,M0870,İzmir,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10437,2026-03-24,M0102,Bursa,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10437,2026-03-24,M0102,Bursa,Giyim,Tişört,3,349,1047,Kredi Kartı,Tamamlandı
S10438,2026-03-24,M0021,Ankara,Ev Yaşam,Termos,2,449,898,Kredi Kartı,Tamamlandı
S10438,2026-03-24,M0021,Ankara,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10439,2026-03-24,M0794,Bursa,Giyim,Spor Ayakkabı,1,1899,1899,Havale/EFT,Tamamlandı
S10440,2026-03-24,M0828,Konya,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10440,2026-03-24,M0828,Konya,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10441,2026-03-25,M0405,İstanbul,Giyim,Tişört,4,349,1396,Kredi Kartı,Tamamlandı
S10441,2026-03-25,M0405,İstanbul,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10442,2026-03-25,M0762,Bursa,Elektronik,Kablosuz Kulaklık,3,1299,3897,Kredi Kartı,Tamamlandı
S10443,2026-03-25,M0027,Antalya,Elektronik,Oyuncu Mouse,1,899,899,Kredi Kartı,Tamamlandı
S10443,2026-03-25,M0027,Antalya,Giyim,Mont,2,2299,4598,Kredi Kartı,Tamamlandı
S10443,2026-03-25,M0027,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kredi Kartı,Tamamlandı
S10444,2026-03-25,M0366,Adana,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10445,2026-03-25,M0715,İzmir,Kozmetik,Güneş Kremi,1,459,459,Banka Kartı,Tamamlandı
S10446,2026-03-25,M0547,İstanbul,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10447,2026-03-26,M0835,Antalya,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10448,2026-03-26,M0307,İstanbul,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S10449,2026-03-26,M0575,Ankara,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10449,2026-03-26,M0575,Ankara,Kozmetik,Şampuan,2,159,318,Kredi Kartı,Tamamlandı
S10450,2026-03-26,M0711,Bursa,Spor,Yoga Matı,2,399,798,Kredi Kartı,Tamamlandı
S10450,2026-03-26,M0711,Bursa,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10451,2026-03-26,M0638,Ankara,Kitap,Roman,4,189,756,Kredi Kartı,Tamamlandı
S10452,2026-03-27,M0129,Bursa,Elektronik,Bluetooth Hoparlör,1,1799,1799,Banka Kartı,Tamamlandı
S10453,2026-03-27,M0819,Ankara,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10453,2026-03-27,M0819,Ankara,Giyim,Mont,1,2299,2299,Kredi Kartı,Tamamlandı
S10454,2026-03-27,M0862,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S10455,2026-03-27,M0254,Bursa,Kozmetik,Şampuan,4,159,636,Kredi Kartı,Tamamlandı
S10456,2026-03-27,M0698,Konya,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10457,2026-03-28,M0370,Adana,Elektronik,Oyuncu Mouse,1,899,899,Havale/EFT,Tamamlandı
S10458,2026-03-28,M0283,İzmir,Kitap,Kişisel Gelişim Kitabı,2,229,458,Kredi Kartı,Tamamlandı
S10459,2026-03-28,M0159,Ankara,Elektronik,Oyuncu Mouse,3,899,2697,Kredi Kartı,Tamamlandı
S10460,2026-03-28,M0641,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10461,2026-03-28,M0572,Antalya,Ev Yaşam,Kahve Makinesi,2,2199,4398,Havale/EFT,Tamamlandı
S10461,2026-03-28,M0572,Antalya,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Havale/EFT,Tamamlandı
S10462,2026-03-28,M0302,İzmir,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10463,2026-03-29,M0614,Konya,Elektronik,Akıllı Saat,1,3499,3499,Banka Kartı,Tamamlandı
S10464,2026-03-29,M0001,Antalya,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10464,2026-03-29,M0001,Antalya,Giyim,Kot Pantolon,4,899,3596,Kredi Kartı,Tamamlandı
S10465,2026-03-29,M0195,İzmir,Kozmetik,Nemlendirici Krem,2,399,798,Kredi Kartı,Tamamlandı
S10466,2026-03-29,M0536,Bursa,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10466,2026-03-29,M0536,Bursa,Elektronik,Oyuncu Mouse,1,899,899,Kredi Kartı,Tamamlandı
S10466,2026-03-29,M0536,Bursa,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10467,2026-03-29,M0736,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Kapıda Ödeme,Tamamlandı
S10468,2026-03-29,M0063,Ankara,Spor,Dambıl Seti,1,1249,1249,Banka Kartı,Tamamlandı
S10468,2026-03-29,M0063,Ankara,Ev Yaşam,Masa Lambası,2,649,1298,Banka Kartı,Tamamlandı
S10469,2026-03-29,M0222,Konya,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10469,2026-03-29,M0222,Konya,Kozmetik,Parfüm,2,1599,3198,Kredi Kartı,Tamamlandı
S10470,2026-03-29,M0109,Antalya,Kozmetik,Nemlendirici Krem,1,399,399,Banka Kartı,Tamamlandı
S10470,2026-03-29,M0109,Antalya,Ev Yaşam,Termos,2,449,898,Banka Kartı,Tamamlandı
S10471,2026-03-30,M0323,İzmir,Giyim,Spor Ayakkabı,2,1899,3798,Kapıda Ödeme,Tamamlandı
S10471,2026-03-30,M0323,İzmir,Giyim,Tişört,1,349,349,Kapıda Ödeme,Tamamlandı
S10472,2026-03-30,M0763,İstanbul,Giyim,Spor Ayakkabı,4,1899,7596,Kapıda Ödeme,Tamamlandı
S10473,2026-03-30,M0531,İstanbul,Kitap,Roman,1,189,189,Havale/EFT,Tamamlandı
S10474,2026-03-31,M0707,Antalya,Ev Yaşam,Termos,1,449,449,Kapıda Ödeme,Tamamlandı
S10475,2026-03-31,M0160,İstanbul,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10476,2026-03-31,M0223,Bursa,Elektronik,Tablet,2,8999,17998,Banka Kartı,Tamamlandı
S10476,2026-03-31,M0223,Bursa,Kitap,Kişisel Gelişim Kitabı,1,229,229,Banka Kartı,Tamamlandı
S10477,2026-04-01,M0058,Konya,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10477,2026-04-01,M0058,Konya,Kozmetik,Güneş Kremi,3,459,1377,Kredi Kartı,Tamamlandı
S10478,2026-04-01,M0648,Ankara,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10479,2026-04-01,M0052,Bursa,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10479,2026-04-01,M0052,Bursa,Spor,Yoga Matı,1,399,399,Kapıda Ödeme,Tamamlandı
S10479,2026-04-01,M0052,Bursa,Kozmetik,Şampuan,1,159,159,Kapıda Ödeme,Tamamlandı
S10480,2026-04-01,M0445,Antalya,Ev Yaşam,Termos,2,449,898,Kredi Kartı,Tamamlandı
S10481,2026-04-01,M0631,Trabzon,Giyim,Tişört,2,349,698,Kredi Kartı,Tamamlandı
S10482,2026-04-02,M0116,Bursa,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10483,2026-04-02,M0359,İzmir,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kapıda Ödeme,Tamamlandı
S10484,2026-04-02,M0383,İstanbul,Kozmetik,Parfüm,2,1599,3198,Banka Kartı,Tamamlandı
S10485,2026-04-02,M0853,Antalya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kredi Kartı,Tamamlandı
S10485,2026-04-02,M0853,Antalya,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10486,2026-04-02,M0495,İzmir,Kozmetik,Nemlendirici Krem,3,399,1197,Kapıda Ödeme,Tamamlandı
S10486,2026-04-02,M0495,İzmir,Giyim,Kot Pantolon,1,899,899,Kapıda Ödeme,Tamamlandı
S10487,2026-04-03,M0009,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,229,Banka Kartı,Tamamlandı
S10487,2026-04-03,M0009,İstanbul,Kitap,Kişisel Gelişim Kitabı,4,229,916,Banka Kartı,Tamamlandı
S10488,2026-04-03,M0727,İstanbul,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10488,2026-04-03,M0727,İstanbul,Kitap,Roman,1,189,189,Kredi Kartı,Tamamlandı
S10489,2026-04-03,M0342,Ankara,Kozmetik,Nemlendirici Krem,1,399,399,Banka Kartı,Tamamlandı
S10490,2026-04-03,M0514,İstanbul,Giyim,Kazak,4,749,2996,Kredi Kartı,Tamamlandı
S10491,2026-04-03,M0287,İstanbul,Elektronik,Tablet,1,8999,8999,Kredi Kartı,Tamamlandı
S10492,2026-04-04,M0894,İzmir,Elektronik,Oyuncu Kulaklığı,3,1899,5697,Kredi Kartı,Tamamlandı
S10493,2026-04-04,M0556,İstanbul,Kozmetik,Parfüm,1,1599,1599,Banka Kartı,Tamamlandı
S10494,2026-04-04,M0537,Adana,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10494,2026-04-04,M0537,Adana,Elektronik,Bluetooth Hoparlör,2,1799,3598,Kredi Kartı,Tamamlandı
S10494,2026-04-04,M0537,Adana,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10495,2026-04-04,M0424,Konya,Spor,Dambıl Seti,2,1249,2498,Kredi Kartı,Tamamlandı
S10495,2026-04-04,M0424,Konya,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10496,2026-04-04,M0632,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Banka Kartı,Tamamlandı
S10497,2026-04-04,M0489,İstanbul,Kozmetik,Parfüm,1,1599,1599,Havale/EFT,Tamamlandı
S10498,2026-04-04,M0168,İstanbul,Elektronik,Mekanik Klavye,1,2499,2499,Kredi Kartı,Tamamlandı
S10498,2026-04-04,M0168,İstanbul,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S10499,2026-04-04,M0450,Adana,Ev Yaşam,Nevresim Takımı,1,1149,1149,Kredi Kartı,Tamamlandı
S10500,2026-04-04,M0753,Antalya,Kitap,Kişisel Gelişim Kitabı,1,229,229,Banka Kartı,Tamamlandı
S10501,2026-04-05,M0112,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S10502,2026-04-05,M0572,Ankara,Elektronik,Bluetooth Hoparlör,3,1799,5397,Havale/EFT,Tamamlandı
S10502,2026-04-05,M0572,Ankara,Giyim,Kot Pantolon,1,899,899,Havale/EFT,Tamamlandı
S10502,2026-04-05,M0572,Ankara,Kozmetik,Güneş Kremi,1,459,459,Havale/EFT,Tamamlandı
S10503,2026-04-05,M0093,Bursa,Kitap,Çocuk Kitabı,1,149,149,Kredi Kartı,Tamamlandı
S10503,2026-04-05,M0093,Bursa,Ev Yaşam,Kahve Makinesi,1,2199,2199,Kredi Kartı,Tamamlandı
S10504,2026-04-05,M0207,Adana,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10505,2026-04-05,M0094,İstanbul,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10506,2026-04-05,M0164,Ankara,Kitap,Kişisel Gelişim Kitabı,2,229,458,Kredi Kartı,Tamamlandı
S10506,2026-04-05,M0164,Ankara,Spor,Yoga Matı,2,399,798,Kredi Kartı,Tamamlandı
S10507,2026-04-05,M0317,Bursa,Elektronik,Oyuncu Kulaklığı,4,1899,0,Kapıda Ödeme,İade
S10508,2026-04-05,M0784,İstanbul,Ev Yaşam,Kahve Makinesi,3,2199,6597,Kredi Kartı,Tamamlandı
S10508,2026-04-05,M0784,İstanbul,Ev Yaşam,Termos,1,449,449,Kredi Kartı,Tamamlandı
S10509,2026-04-06,M0615,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Havale/EFT,Tamamlandı
S10510,2026-04-06,M0057,İzmir,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10510,2026-04-06,M0057,İzmir,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10511,2026-04-06,M0626,Bursa,Ev Yaşam,Tencere Seti,2,3299,6598,Banka Kartı,Tamamlandı
S10512,2026-04-06,M0037,İstanbul,Giyim,Kot Pantolon,1,899,899,Kredi Kartı,Tamamlandı
S10513,2026-04-06,M0300,Ankara,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10513,2026-04-06,M0300,Ankara,Elektronik,Bluetooth Hoparlör,4,1799,7196,Kredi Kartı,Tamamlandı
S10514,2026-04-07,M0620,Konya,Kozmetik,Nemlendirici Krem,1,399,399,Kapıda Ödeme,Tamamlandı
S10515,2026-04-07,M0363,Konya,Kozmetik,Nemlendirici Krem,2,399,798,Banka Kartı,Tamamlandı
S10516,2026-04-07,M0239,Bursa,Elektronik,Oyuncu Mouse,1,899,899,Kapıda Ödeme,Tamamlandı
S10517,2026-04-07,M0819,İzmir,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10518,2026-04-07,M0707,İstanbul,Ev Yaşam,Nevresim Takımı,1,1149,1149,Havale/EFT,Tamamlandı
S10519,2026-04-07,M0350,Ankara,Spor,Yoga Matı,2,399,798,Banka Kartı,Tamamlandı
S10519,2026-04-07,M0350,Ankara,Ev Yaşam,Termos,1,449,449,Banka Kartı,Tamamlandı
S10519,2026-04-07,M0350,Ankara,Elektronik,Bluetooth Hoparlör,2,1799,3598,Banka Kartı,Tamamlandı
S10520,2026-04-07,M0474,Antalya,Spor,Yoga Matı,2,399,798,Kredi Kartı,Tamamlandı
S10520,2026-04-07,M0474,Antalya,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10521,2026-04-07,M0815,Ankara,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Kapıda Ödeme,Tamamlandı
S10522,2026-04-08,M0585,İzmir,Kozmetik,Nemlendirici Krem,2,399,798,Kredi Kartı,Tamamlandı
S10523,2026-04-08,M0279,Ankara,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S10524,2026-04-08,M0115,Ankara,Elektronik,Bluetooth Hoparlör,2,1799,3598,Kredi Kartı,Tamamlandı
S10525,2026-04-08,M0158,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Kapıda Ödeme,Tamamlandı
S10525,2026-04-08,M0158,İstanbul,Spor,Koşu Bandı,2,18999,37998,Kapıda Ödeme,Tamamlandı
S10526,2026-04-08,M0742,İstanbul,Elektronik,Akıllı Saat,1,3499,3499,Kredi Kartı,Tamamlandı
S10526,2026-04-08,M0742,İstanbul,Kitap,Roman,3,189,567,Kredi Kartı,Tamamlandı
S10527,2026-04-08,M0785,Bursa,Giyim,Kazak,1,749,749,Kredi Kartı,Tamamlandı
S10528,2026-04-08,M0284,İzmir,Giyim,Kot Pantolon,1,899,899,Havale/EFT,Tamamlandı
S10528,2026-04-08,M0284,İzmir,Ev Yaşam,Kahve Makinesi,1,2199,2199,Havale/EFT,Tamamlandı
S10529,2026-04-09,M0824,İstanbul,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10530,2026-04-09,M0483,Adana,Elektronik,Akıllı Saat,2,3499,6998,Kredi Kartı,Tamamlandı
S10531,2026-04-09,M0645,Antalya,Giyim,Kazak,2,749,1498,Banka Kartı,Tamamlandı
S10531,2026-04-09,M0645,Antalya,Ev Yaşam,Tencere Seti,2,3299,6598,Banka Kartı,Tamamlandı
S10532,2026-04-09,M0135,İstanbul,Elektronik,Akıllı Saat,2,3499,6998,Havale/EFT,Tamamlandı
S10532,2026-04-09,M0135,İstanbul,Ev Yaşam,Tencere Seti,1,3299,3299,Havale/EFT,Tamamlandı
S10533,2026-04-09,M0265,Konya,Kozmetik,Güneş Kremi,3,459,1377,Kredi Kartı,Tamamlandı
S10533,2026-04-09,M0265,Konya,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kredi Kartı,Tamamlandı
S10534,2026-04-10,M0175,İstanbul,Ev Yaşam,Termos,2,449,898,Kredi Kartı,Tamamlandı
S10535,2026-04-10,M0570,İzmir,Giyim,Tişört,2,349,698,Havale/EFT,Tamamlandı
S10536,2026-04-10,M0494,Ankara,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10536,2026-04-10,M0494,Ankara,Ev Yaşam,Nevresim Takımı,2,1149,2298,Kredi Kartı,Tamamlandı
S10537,2026-04-10,M0729,İzmir,Ev Yaşam,Termos,2,449,898,Kredi Kartı,Tamamlandı
S10538,2026-04-10,M0416,İstanbul,Kozmetik,Nemlendirici Krem,1,399,399,Kredi Kartı,Tamamlandı
S10538,2026-04-10,M0416,İstanbul,Elektronik,Tablet,3,8999,26997,Kredi Kartı,Tamamlandı
S10539,2026-04-10,M0652,Antalya,Ev Yaşam,Nevresim Takımı,1,1149,1149,Havale/EFT,Tamamlandı
S10539,2026-04-10,M0652,Antalya,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Havale/EFT,Tamamlandı
S10540,2026-04-10,M0696,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,0,Kapıda Ödeme,İade
S10541,2026-04-10,M0523,Ankara,Giyim,Tişört,1,349,349,Kredi Kartı,Tamamlandı
S10542,2026-04-10,M0841,Trabzon,Elektronik,Bluetooth Hoparlör,1,1799,1799,Kredi Kartı,Tamamlandı
S10543,2026-04-11,M0446,İzmir,Elektronik,Akıllı Saat,3,3499,10497,Banka Kartı,Tamamlandı
S10544,2026-04-11,M0158,İstanbul,Elektronik,Oyuncu Mouse,1,899,899,Havale/EFT,Tamamlandı
S10545,2026-04-11,M0674,Ankara,Kozmetik,Nemlendirici Krem,1,399,399,Kapıda Ödeme,Tamamlandı
S10546,2026-04-11,M0619,Konya,Giyim,Kazak,1,749,749,Banka Kartı,Tamamlandı
S10547,2026-04-11,M0435,İzmir,Giyim,Tişört,1,349,349,Banka Kartı,Tamamlandı
S10547,2026-04-11,M0435,İzmir,Giyim,Kazak,1,749,749,Banka Kartı,Tamamlandı
S10548,2026-04-11,M0116,İzmir,Kozmetik,Şampuan,2,159,318,Kapıda Ödeme,Tamamlandı
S10549,2026-04-11,M0287,Ankara,Elektronik,Bluetooth Hoparlör,2,1799,3598,Kredi Kartı,Tamamlandı
S10549,2026-04-11,M0287,Ankara,Elektronik,Oyuncu Mouse,2,899,1798,Kredi Kartı,Tamamlandı
S10550,2026-04-12,M0055,Adana,Ev Yaşam,Tencere Seti,1,3299,3299,Kredi Kartı,Tamamlandı
S10551,2026-04-12,M0362,Konya,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Havale/EFT,Tamamlandı
S10552,2026-04-12,M0578,İstanbul,Ev Yaşam,Masa Lambası,1,649,649,Banka Kartı,Tamamlandı
S10553,2026-04-12,M0028,İstanbul,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10554,2026-04-12,M0879,İstanbul,Kitap,Çocuk Kitabı,2,149,298,Banka Kartı,Tamamlandı
S10554,2026-04-12,M0879,İstanbul,Elektronik,Tablet,1,8999,8999,Banka Kartı,Tamamlandı
S10555,2026-04-12,M0541,Adana,Elektronik,Oyuncu Kulaklığı,1,1899,1899,Kredi Kartı,Tamamlandı
S10556,2026-04-13,M0244,Bursa,Ev Yaşam,Tencere Seti,1,3299,3299,Banka Kartı,Tamamlandı
S10557,2026-04-13,M0840,İstanbul,Giyim,Spor Ayakkabı,2,1899,3798,Kredi Kartı,Tamamlandı
S10558,2026-04-13,M0389,Bursa,Ev Yaşam,Termos,1,449,449,Kredi Kartı,Tamamlandı
S10559,2026-04-13,M0392,Bursa,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Kapıda Ödeme,Tamamlandı
S10559,2026-04-13,M0392,Bursa,Giyim,Kazak,2,749,1498,Kapıda Ödeme,Tamamlandı
S10560,2026-04-13,M0274,Antalya,Ev Yaşam,Masa Lambası,1,649,649,Kredi Kartı,Tamamlandı
S10561,2026-04-13,M0789,İstanbul,Elektronik,Bluetooth Hoparlör,2,1799,3598,Kredi Kartı,Tamamlandı
S10561,2026-04-13,M0789,İstanbul,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10562,2026-04-13,M0225,Bursa,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10563,2026-04-13,M0223,Konya,Elektronik,Tablet,1,8999,8999,Banka Kartı,Tamamlandı
S10563,2026-04-13,M0223,Konya,Kitap,Kişisel Gelişim Kitabı,4,229,916,Banka Kartı,Tamamlandı
S10564,2026-04-14,M0713,İstanbul,Elektronik,Bluetooth Hoparlör,4,1799,7196,Kredi Kartı,Tamamlandı
S10564,2026-04-14,M0713,İstanbul,Kozmetik,Şampuan,2,159,318,Kredi Kartı,Tamamlandı
S10565,2026-04-14,M0800,İstanbul,Giyim,Kot Pantolon,3,899,2697,Havale/EFT,Tamamlandı
S10566,2026-04-14,M0452,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Kapıda Ödeme,Tamamlandı
S10567,2026-04-14,M0442,İstanbul,Kozmetik,Parfüm,1,1599,1599,Banka Kartı,Tamamlandı
S10567,2026-04-14,M0442,İstanbul,Giyim,Tişört,3,349,1047,Banka Kartı,Tamamlandı
S10567,2026-04-14,M0442,İstanbul,Kozmetik,Güneş Kremi,2,459,918,Banka Kartı,Tamamlandı
S10568,2026-04-14,M0717,İstanbul,Kozmetik,Güneş Kremi,1,459,459,Kredi Kartı,Tamamlandı
S10569,2026-04-14,M0746,Antalya,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Havale/EFT,Tamamlandı
S10570,2026-04-15,M0368,Ankara,Kitap,Kişisel Gelişim Kitabı,1,229,229,Kredi Kartı,Tamamlandı
S10571,2026-04-15,M0349,İstanbul,Kozmetik,Parfüm,1,1599,1599,Kredi Kartı,Tamamlandı
S10571,2026-04-15,M0349,İstanbul,Elektronik,Oyuncu Mouse,3,899,2697,Kredi Kartı,Tamamlandı
S10572,2026-04-16,M0368,Ankara,Elektronik,Kablosuz Kulaklık,1,1299,1299,Havale/EFT,Tamamlandı
S10573,2026-04-16,M0245,Ankara,Giyim,Tişört,2,349,698,Kredi Kartı,Tamamlandı
S10574,2026-04-16,M0017,İstanbul,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10574,2026-04-16,M0017,İstanbul,Ev Yaşam,Masa Lambası,3,649,1947,Kredi Kartı,Tamamlandı
S10575,2026-04-16,M0594,İstanbul,Ev Yaşam,Kahve Makinesi,3,2199,6597,Kredi Kartı,Tamamlandı
S10575,2026-04-16,M0594,İstanbul,Giyim,Spor Ayakkabı,1,1899,1899,Kredi Kartı,Tamamlandı
S10576,2026-04-17,M0100,Ankara,Spor,Yoga Matı,1,399,399,Kredi Kartı,Tamamlandı
S10577,2026-04-17,M0226,İstanbul,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10578,2026-04-17,M0701,İzmir,Spor,Dambıl Seti,1,1249,1249,Kredi Kartı,Tamamlandı
S10578,2026-04-17,M0701,İzmir,Elektronik,Kablosuz Kulaklık,1,1299,1299,Kredi Kartı,Tamamlandı
S10579,2026-04-17,M0567,İstanbul,Elektronik,Tablet,2,8999,17998,Kredi Kartı,Tamamlandı
S10580,2026-04-17,M0162,İstanbul,Elektronik,Kablosuz Kulaklık,2,1299,2598,Kredi Kartı,Tamamlandı
S10581,2026-04-17,M0427,Bursa,Elektronik,Mekanik Klavye,1,2499,2499,Havale/EFT,Tamamlandı
S10582,2026-04-17,M0245,Konya,Elektronik,Bluetooth Hoparlör,3,1799,5397,Banka Kartı,Tamamlandı
S10583,2026-04-17,M0802,İstanbul,Elektronik,Oyuncu Kulaklığı,4,1899,7596,Kredi Kartı,Tamamlandı
S10584,2026-04-18,M0884,Antalya,Kozmetik,Şampuan,1,159,159,Kredi Kartı,Tamamlandı
S10585,2026-04-18,M0816,İstanbul,Ev Yaşam,Kahve Makinesi,3,2199,6597,Havale/EFT,Tamamlandı
S10585,2026-04-18,M0816,İstanbul,Giyim,Mont,1,2299,2299,Havale/EFT,Tamamlandı
S10585,2026-04-18,M0816,İstanbul,Kitap,Kişisel Gelişim Kitabı,1,229,229,Havale/EFT,Tamamlandı
S10586,2026-04-18,M0551,İstanbul,Elektronik,Oyuncu Kulaklığı,2,1899,3798,Havale/EFT,Tamamlandı
S10587,2026-04-18,M0334,Ankara,Giyim,Kot Pantolon,1,899,899,Banka Kartı,Tamamlandı
S10587,2026-04-18,M0334,Ankara,Giyim,Kot Pantolon,3,899,2697,Banka Kartı,Tamamlandı
